Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
DNA metabolic process (GO:0006259)	95/314	1.50597415267604e-23	7.68498610110585e-20	0	0	2.99849128543743	157.57076854142	TOP2A;MRE11;MCM7;MCM8;NUDT1;HMGB2;MCM10;BRCA1;HMGB1;BRCA2;PTMS;EXO1;CHEK1;PCLAF;TK1;TOPBP1;NUDT15;POLE;GEN1;RFC5;WDHD1;HELLS;RMI2;RFC3;PARP4;RFC4;PARP1;LIG1;RMI1;RFC2;CDC25C;SMC1A;CDC25A;MSH2;MSH3;FANCD2;DMC1;TIMELESS;MCM3;MCM4;MCM5;DNA2;MCM6;DCTPP1;MCM2;PIF1;PRIM2;RTEL1;DNMT1;BLM;PCNA;RNASEH2A;PRKDC;UHRF1;PRIM1;TYMS;PDS5A;RECQL4;RAD51AP1;BRIP1;ORC6;CDC45;ORC1;NTHL1;POLD1;POLD2;RAD54L;CLSPN;BARD1;DUT;MGMT;XRCC2;XRCC3;GINS4;FANCA;DONSON;CDC7;FANCC;CDC6;FANCG;TICRR;POLE4;POLA1;POLA2;RAD51;NASP;ERCC3;RPA3;UBE2T;POLE2;CDK2;UBE2N;CDK1;ATR;CENPS
DNA replication (GO:0006260)	52/120	2.90442324648747e-21	7.41063591341277e-18	0	0	4.29468120251074	203.087108545245	MRE11;MCM7;MCM8;MCM10;BRCA1;PTMS;EXO1;CHEK1;PCLAF;TOPBP1;POLE;RFC5;WDHD1;RFC3;RMI2;RFC4;RFC2;RMI1;CDC25C;CDC25A;TIMELESS;MCM3;MCM4;MCM5;DNA2;MCM6;MCM2;PIF1;BLM;RNASEH2A;RECQL4;BRIP1;ORC6;CDC45;ORC1;POLD1;POLD2;CLSPN;BARD1;DUT;DONSON;CDC7;CDC6;TICRR;POLA1;POLA2;NASP;POLE2;RPA3;CDK2;CDK1;ATR
mitotic cell cycle phase transition (GO:0044772)	67/221	4.8313353263778e-17	8.21810139016863e-14	0	0	3.00463251550525	112.880509217306	TRIM71;MCM7;MCM8;MCM10;FOXM1;EPS8;CHEK2;CNTRL;ENSA;NEK2;POLE;CDK5RAP2;CEP131;HAUS4;HAUS5;TUBG1;CDC25C;CDC25A;CDC25B;HAUS1;CCNA2;MELK;CCNE2;MCM3;MCM4;MCM5;MCM6;BCAT1;MCM2;PRIM2;PRIM1;PKMYT1;GSPT1;AURKA;CCNB2;CCNB1;ORC6;CDC45;ORC1;PRKAR2B;EIF4EBP1;CEP78;PLK4;CDKN2D;CDT1;RANBP1;CDKN2C;UBE2C;CEP152;PLK1;CDC7;CDC6;TPD52L1;POLE4;POLA1;POLA2;WEE1;NASP;CENPJ;RPA3;POLE2;CDK2;TACC3;CDK1;CEP41;NES;CDKN3
G1/S transition of mitotic cell cycle (GO:0000082)	41/105	3.80869844585808e-15	4.85894704230345e-12	0	0	3.86993251215253	128.487521266246	TRIM71;PRIM2;PCNA;MCM7;MCM8;PRIM1;MCM10;TYMS;GSPT1;ORC6;CDC45;ORC1;EIF4EBP1;E2F1;FBXO5;POLE;CDKN2D;CDT1;RANBP1;CDKN2C;RRM2;CDC7;CDC6;CDC25A;DHFR;POLE4;POLA1;POLA2;WEE1;CCNE2;NASP;POLE2;RPA3;CDK2;MCM3;MCM4;MCM5;MCM6;BCAT1;MCM2;CDKN3
DNA repair (GO:0006281)	74/288	2.12727094742546e-14	2.17109272894242e-11	0	0	2.5465257130272	80.1680707930146	MRE11;OGG1;NUDT1;HMGB2;NUCKS1;BRCA1;HMGB1;BRCA2;PAXX;EME1;EXO1;CHEK2;CHEK1;TOPBP1;TMEM189-UBE2V1;POLE;RFC5;WDHD1;RMI2;RFC3;PARP4;RFC4;PARP1;LIG1;RMI1;RFC2;H2AFX;PARP9;SMC1A;NEIL3;MSH2;MSH3;FANCD2;MSH5;TIMELESS;DNA2;BLM;PCNA;RNASEH2A;PRKDC;CDCA5;PDS5A;RECQL4;RAD51AP1;BRIP1;POLD1;POLD2;RAD54L;BARD1;CDKN2D;FANCI;FANCM;MGMT;XRCC2;XRCC3;FANCA;FANCC;MND1;FANCB;FANCE;FANCG;TICRR;POLA1;RAD51;ERCC3;RPA3;UBE2T;POLE2;UBE2N;CDK1;TRIP13;TP73;ATR;CENPS
mitotic sister chromatid segregation (GO:0000070)	34/82	1.05241001261565e-13	8.95074715729606e-11	0	0	4.109357248181	122.797964229254	CDCA5;KIF14;NCAPG;CDCA8;PDS5A;SMC4;NCAPH;NSL1;SMC2;DSN1;CCNB1;NUSAP1;SPDL1;DLGAP5;SPAG5;PLK1;KIF23;KIF22;SMC1A;TUBG1;HASPIN;KNSTRN;ZWINT;NDC80;CENPE;KIF18A;PSRC1;KIF18B;ESPL1;KIFC1;PRC1;KIF2C;NCAPD2;NCAPD3
cell cycle G1/S phase transition (GO:0044843)	36/92	1.66610280816803e-13	1.21458894715449e-10	0	0	3.87814021631404	114.106980918462	TRIM71;PRIM2;MCM7;MCM8;PRIM1;MCM10;GSPT1;ORC6;CDC45;ORC1;EIF4EBP1;POLE;CDKN2D;CDT1;RANBP1;CDKN2C;CDC7;CDC6;CDC25A;CCNA2;POLE4;POLA1;POLA2;WEE1;CCNE2;NASP;POLE2;RPA3;CDK2;MCM3;MCM4;MCM5;MCM6;BCAT1;MCM2;CDKN3
DNA-dependent DNA replication (GO:0006261)	26/56	3.52487027194157e-12	2.24842662471473e-09	0	0	4.60144414554722	121.345500238623	PRIM2;PRIM1;MCM10;ORC6;CDC45;ORC1;POLD1;POLD2;TOPBP1;POLE;RFC5;GINS1;WDHD1;GINS2;RFC3;RFC4;RFC2;GINS4;CDC7;POLE4;POLA1;POLA2;RAD51;POLE2;DNA2;MCM2
DNA synthesis involved in DNA repair (GO:0000731)	28/65	5.08296893040126e-12	2.88204338353751e-09	0	0	4.26926888770298	111.02287360192	BLM;MRE11;PCNA;UBA7;BRCA1;BRCA2;RAD51AP1;BRIP1;EXO1;POLD1;POLD2;PCLAF;POLE;RFC5;CDKN2D;BARD1;RFC3;RMI2;RFC4;RFC2;RMI1;XRCC2;XRCC3;POLA1;RAD51;RPA3;DNA2;DTL
DNA biosynthetic process (GO:0071897)	21/39	1.13000829140682e-11	5.76643231104902e-09	0	0	5.33658610962873	134.515115780257	CDKN2D;BARD1;BLM;RFC3;RMI2;MRE11;RMI1;XRCC2;XRCC3;BRCA1;BRCA2;TYMS;RAD51AP1;POLA1;BRIP1;RAD51;EXO1;POLD1;DNA2;POLE;PPIA
