Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
spindle (GO:0005819)	66/186	7.3444735941663e-21	3.27563522299817e-18	0	0	3.51673646855718	163.037094203313	KIF14;BUB1B;KIF11;CEP128;CDC20;TUBB8;NUSAP1;KNTC1;FBXO5;SPDL1;CDK5RAP2;PARP4;CKAP2L;DDX11;ANXA11;KIF23;KIF22;HASPIN;TUBG1;KNSTRN;CDC25B;SGO1;PSRC1;ESPL1;KIFC1;INCENP;EFHC1;KIF2C;KIF20A;KIF20B;ARL3;CCDC69;CDCA8;NEDD9;TTK;WDR62;SKA3;SKA1;AURKB;SKA2;AURKA;CCNB1;DSN1;RACGAP1;KIF3A;TPR;CLTCL1;POC1A;ECT2;SPAG5;PLK1;CDC7;HSPA2;CDC6;MZT1;TBCK;TPX2;CENPF;PRC1;KIF4A;CDK1;TACC3;CALM3;TUBGCP3;CALM2;MAD2L1
nuclear chromosome part (GO:0044454)	87/392	9.77248605871141e-13	2.17926439109265e-10	0	0	2.19959143221213	60.827579148974	MRE11;MCM7;TONSL;HMGB2;BUB1B;NUCKS1;BRCA1;BRCA2;ACTB;HIST2H2AC;CHAF1B;CHAF1A;YY2;EME1;SFR1;SOX18;MIS18BP1;NUF2;POLE;TP63;ZNF385A;HIST1H1B;WDHD1;PARP1;HIST1H2AH;H2AFZ;DDX11;H2AFX;H2AFV;THOC2;MMS22L;MSH2;NHP2;MCM3;TIMELESS;MCM4;MCM5;MCM6;DNA2;ASF1B;MCM2;PIF1;PRIM2;BLM;SMARCD3;PCNA;PRKDC;UHRF1;CDCA5;PRIM1;CENPA;NCAPH;AURKB;AURKA;RAD51AP1;SYCE2;DSN1;CCNB1;MUC1;ORC6;ORC1;POLD1;POLD2;E2F1;BUB1;CENPT;GINS1;GINS2;CBX7;CBX5;PLK1;XRCC3;GINS4;SMARCA2;NDC80;POLE4;POLA1;POLA2;RAD51;NASP;POLE2;CDK1;ANP32E;POLR3G;NCAPD2;NCAPD3;ATR
chromosome, centromeric region (GO:0000775)	24/49	5.60381178574809e-12	8.3310001881455e-10	0	0	4.85427074695091	125.762378950503	CENPT;HELLS;CENPW;CBX5;DSCC1;CDCA5;HJURP;CDCA8;SMC1A;PDS5A;CENPA;AURKB;NDC80;SGO1;SGO2;CENPE;CENPF;INCENP;NUF2;BIRC5;OIP5;KIF2C;NCAPD2;NCAPD3
microtubule organizing center (GO:0005815)	100/507	3.42647483958634e-11	3.82051944613876e-09	0	0	1.95479344675045	47.1044700922624	CEP120;CCNF;TBC1D31;CHEK1;PCLAF;NEK2;CDK5RAP3;CDK5RAP2;GEN1;DDX11;CEP131;TAP1;HASPIN;SYTL4;CDC25B;SGO1;MAPKAPK2;ATF5;KIF20B;OBSL1;ARL3;WDR62;HMMR;PLA2G6;AAAS;CCNB2;CCNB1;PRKAR2B;KIF3A;CEP78;PLK4;ABCA2;STIL;CCDC14;XRCC2;PLK1;CCDC15;NDC80;TPX2;CDK2;SASS6;CDK1;TUBGCP3;CALM3;CALM2;MDM1;GPSM2;C2CD5;USP33;DYSF;SPATC1L;BRCA2;KIF15;RPGR;CNTRL;FLOT1;BBS7;CEP55;DLGAP5;LRRCC1;LRRC45;RAB6C;CKAP2L;PLEKHG6;H2AFX;HAUS4;KIF23;HAUS5;TUBG1;PAX2;HAUS1;KAT2B;ESPL1;KIFC1;TRAF5;EFHC1;MCM3;TRIM59;KIF2C;KIFC3;DTL;PCNA;AURKA;CDC45;E2F1;POC1A;FSD1;STOX1;CENPU;RANBP1;SLF1;CEP152;SCLT1;MZT1;PLEKHA7;TTLL5;CENPJ;TACC3;CEP41;MAMLD1
spindle microtubule (GO:0005876)	23/49	4.70448186472818e-11	4.19639782333753e-09	0	0	4.65200946582796	110.624414706046	PARP4;SPAG5;ARL3;PLK1;KIF11;TUBG1;SKA3;SKA1;AURKB;AURKA;SKA2;CENPE;KIF18A;PSRC1;KIF3A;PRC1;KIF4A;NUSAP1;CDK1;KNTC1;CALM3;TUBGCP3;CALM2
centrosome (GO:0005813)	93/461	4.7410373362132e-11	3.52417108658515e-09	0	0	1.99935934507007	47.5291303633845	GPSM2;USP33;CEP120;CCNF;SPATC1L;BRCA2;KIF15;RPGR;TBC1D31;CHEK1;CNTRL;PCLAF;FLOT1;NEK2;BBS7;CDK5RAP3;CEP55;DLGAP5;CDK5RAP2;LRRCC1;GEN1;LRRC45;RAB6C;CKAP2L;DDX11;CEP131;PLEKHG6;H2AFX;HAUS4;KIF23;HAUS5;HASPIN;TUBG1;PAX2;CDC25B;HAUS1;SGO1;KAT2B;ESPL1;MAPKAPK2;TRAF5;EFHC1;MCM3;TRIM59;KIF2C;KIFC3;ZMYND10;ATF5;KIF20B;DTL;OBSL1;PCNA;ARL3;WDR62;HMMR;AAAS;AURKB;AURKA;CCNB2;CCNB1;CDC45;PRKAR2B;KIF3A;E2F1;POC1A;FSD1;STOX1;CEP78;PLK4;RANBP1;SLF1;STIL;SPAG5;CCDC14;CEP152;XRCC2;PLK1;CCDC15;SCLT1;MZT1;NDC80;PLEKHA7;TTLL5;CENPJ;CDK2;SASS6;CDK1;TUBGCP3;CALM3;CEP41;CALM2;MAMLD1;MDM1
condensed chromosome, centromeric region (GO:0000779)	16/26	2.16107958419408e-10	1.37691642078651e-08	0	0	6.0989555538614	135.733738053575	HJURP;BUB1B;KNL1;CENPA;NSL1;AURKB;NDC80;AURKA;SGO1;CENPE;DSN1;BIRC5;NCAPD2;NCAPD3;BUB1;SPC25
mitotic spindle (GO:0072686)	29/84	1.23555919981101e-09	6.88824253894637e-08	0	0	3.42158667232998	70.1827036555924	GPSM2;KIF11;AURKA;RACGAP1;TPR;NUSAP1;ECT2;FAM83D;SPAG5;CKAP2L;KIF23;CDC7;KIF22;SMC1A;EML1;KNSTRN;ASPM;CENPE;TPX2;TBCK;KIF18A;KIF18B;ESPL1;KIFC1;EFHC1;CDK1;TACC3;KIF20B;MAD2L1
chromosomal region (GO:0098687)	27/76	2.21854053814752e-09	1.09941008890422e-07	0	0	3.52094309112722	70.1597777055954	RTEL1;BLM;MRE11;DSCC1;CDCA5;HJURP;CDCA8;PDS5A;CENPA;RECQL4;CHEK2;CHEK1;NUF2;OIP5;CENPT;HELLS;CENPW;H2AFX;SMC1A;NDC80;SGO1;SGO2;CENPE;CENPF;INCENP;BIRC5;KIF2C
spindle pole (GO:0000922)	32/107	1.01625375918555e-08	4.53249176596756e-07	0	0	2.96397840000741	54.550711374834	GPSM2;WDR62;KIF11;AURKB;CEP128;AURKA;CCNB1;DSN1;POC1A;KNTC1;SPDL1;FAM83D;DLGAP5;CDK5RAP2;SPAG5;DDX11;PLK1;CDC6;TUBG1;SMC1A;EML1;CDC25B;SGO1;TPX2;ASPM;CENPF;PSRC1;EFHC1;CALM3;TUBGCP3;KIF20B;CALM2
microtubule cytoskeleton (GO:0015630)	76/388	1.07785863619752e-08	4.37022683403723e-07	0	0	1.94129126521104	35.6143557355991	C2CD5;MAST2;DYSF;KIF14;KIF11;KIF15;TUBB8;CDC20;SEPT8;TUBA1B;SEPT6;DPYSL2;FLOT1;KIF21A;FBXO5;CDK5RAP3;CEP55;DLGAP5;CDK5RAP2;DYNC2H1;GAS2L3;CEP131;TAP1;KIF24;ANXA11;KIF23;KIF22;HASPIN;TUBG1;KIF7;SEPT4;EML1;SYTL4;KNSTRN;PAX2;DNM1;EML3;PSRC1;INCENP;KIFC1;KIF2C;KIFC3;KIF20A;KIF20B;TRIM54;ANAPC2;MCM2;CCDC69;NEDD9;TTK;WDR62;HMMR;PLA2G6;SKA1;AURKB;AURKA;CCNB2;KIF3A;CLTCL1;FSD1;ABCA2;CENPU;SEPT11;PLK1;MZT1;CENPE;TPX2;CENPF;KIF18A;KIF18B;PRC1;KIF4A;SASS6;TACC3;TUBGCP3;RADIL
condensed chromosome kinetochore (GO:0000777)	12/19	2.76153674847315e-08	1.02637115818252e-06	0	0	6.25945438422617	108.945136463929	DSN1;MIS18BP1;NUF2;HJURP;BUB1B;BIRC5;KNL1;CENPA;BUB1;NSL1;NDC80;SPC25
condensed nuclear chromosome kinetochore (GO:0000778)	9/11	4.85339566253893e-08	1.66508805037874e-06	0	0	8.10883863411118	136.560968849811	DSN1;CCNB1;MIS18BP1;PLK1;NUF2;BUB1B;CENPA;BUB1;NDC80
condensed chromosome (GO:0000793)	17/40	9.9739716651747e-08	3.17742240190565e-06	0	0	4.21209117938553	67.9018661845692	SUV39H1;HMGB2;NCAPG;HMGB1;MKI67;SMC1A;TUBG1;AURKB;SMC2;SGO1;CENPE;RAD51;FANCD2;CHEK1;DMC1;NCAPD2;NCAPD3
